week,home_team,away_team,UPA_pred_spread_home_minus_away,baseline_power_diff,HFA_points,market_spread_home_minus_away,sportsbook,as_of,value_edge_points
Week 1 (Aug 28-Sept 1),Nebraska,vs Cincinnati,33.71,33.71,0.0,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),SMU,East Texas A&M,32.7,30.2,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),Kentucky,Toledo,31.3,28.8,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),Wisconsin,Miami (OH),30.59,28.09,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),Texas Tech,Arkansas Pine Bluff,29.89,27.39,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),@ Southern Miss,Mississippi State,-28.41,-30.91,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),Southern Miss,Mississippi State,-28.41,-30.91,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),Washington,Colorado State,24.27,21.77,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),Syracuse,vs Tennessee,23.88,23.88,0.0,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),Michigan State,Western Michigan,23.57,21.07,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),@ North Carolina,TCU,-22.79,-25.29,2.5,,FanDuel,2025-08-31 21:45 UTC,
