game_id,week,home_team,away_team,spread
401756894,3,TCU,Abilene Christian,
401760369,3,Fresno State,Southern,
401760370,3,Hawai'i,Portland State,
401752834,3,Michigan State,Youngstown State,
401752833,3,Rutgers,Norfolk State,
401762467,3,UTSA,Incarnate Word,
401762819,3,Toledo,Morgan State,
401761606,3,Marshall,Eastern Kentucky,
401757235,3,Kennesaw State,Merrimack,
401761605,3,Georgia State,Murray State,
401752701,3,Mississippi State,Alcorn State,
401767742,3,Central Connecticut,St. Francis (PA),
401767659,3,Long Island University,Sacred Heart,
401767733,3,Duquesne,Lehigh,
401767627,3,Wagner,Marist,
401767232,3,Tennessee Tech,Davidson,
401767720,3,Georgetown,Lafayette,
401767318,3,Holy Cross,Rhode Island,
401767120,3,South Dakota,Northern Colorado,
401767106,3,Montana State,San Diego,
401767150,3,Western Carolina,Elon,
401767173,3,Eastern Illinois,Illinois State,
401767098,3,Montana,North Dakota,
401767141,3,Campbell,Furman,
401767322,3,Stony Brook,Fordham,
401767217,3,North Dakota State,Southeast Missouri State,
401767588,3,Bucknell,VMI,
401767090,3,Idaho,Utah Tech,
401767161,3,Charleston Southern,Lindenwood,
401767225,3,Tennessee State,Alabama A&M,
401767060,3,Northern Iowa,Eastern Washington,
401767190,3,Maine,Stonehill,
401767529,3,Chattanooga,Stetson,
401767573,3,Mercer,Wofford,
401767300,3,West Georgia,East Tennessee State,
401767388,3,South Carolina State,Bethune-Cookman,
401767426,3,SE Louisiana,Mississippi Valley State,
401767202,3,Gardner-Webb,The Citadel,
401767235,3,UT Martin,Southern Illinois,
401767248,3,Austin Peay,Morehead State,
401767544,3,South Dakota State,Drake,
401767458,3,Texas Southern,Lamar,
401767305,3,Central Arkansas,Tarleton State,
401767159,3,McNeese,Weber State,
401783278,3,UAlbany,New Haven,
401767181,3,North Carolina A&T,Hampton,
401767237,3,Western Illinois,Valparaiso,
401767113,3,Southern Utah,Northern Arizona,
401767131,3,Sacramento State,Mercyhurst,
401752846,4,Nebraska,Michigan,
401752842,4,Washington State,Washington,
401752841,4,Oregon,Oregon State,
401756901,4,Utah,Texas Tech,
401752843,4,Indiana,Illinois,
401752709,4,Miami,Florida,
401752844,4,Rutgers,Iowa,
401754636,4,TCU,SMU,
401756896,4,Baylor,Arizona State,
401752845,4,Wisconsin,Maryland,
401752714,4,Oklahoma,Auburn,
401752848,4,Notre Dame,Purdue,
401752713,4,Missouri,South Carolina,
401762470,4,South Florida,South Carolina State,
401754617,4,Virginia Tech,Wofford,
401762822,4,Central Michigan,Wagner,
401767551,4,Brown,Georgetown,
401760375,4,San José State,Idaho,
401752710,4,LSU,SE Louisiana,
401760377,4,Utah State,McNeese,
401762823,4,Ohio,Gardner-Webb,
401761612,4,Texas State,Nicholls,
401757260,4,Jacksonville State,Murray State,
401761609,4,Georgia Southern,Maine,
401757265,4,Missouri State,UT Martin,
401762821,4,Akron,Duquesne,
401767726,4,Yale,Holy Cross,
401767644,4,Princeton,San Diego,
401767772,4,Stonehill,Pennsylvania,
401767267,4,Dartmouth,New Hampshire,
401767653,4,Stetson,Harvard,
401767672,4,Colgate,Fordham,
401767258,4,Monmouth,Villanova,
401767342,4,St. Francis (PA),Delaware State,
401767574,4,The Citadel,Mercer,
401767541,4,South Dakota,Drake,
401767613,4,Robert Morris,Dayton,
401767107,4,Montana State,Mercyhurst,
401767099,4,Montana,Indiana State,
401767286,4,Illinois State,North Alabama,
401767502,4,North Dakota,Valparaiso,
401767182,4,Howard,Hampton,
401767272,4,North Carolina A&T,North Carolina Central,
401767679,4,Lafayette,Columbia,
401767405,4,Norfolk State,Sacred Heart,
401767589,4,Richmond,VMI,
401767114,4,Northern Arizona,Incarnate Word,
401767319,4,Rhode Island,Long Island University,
401767580,4,Western Carolina,Samford,
401767329,4,Towson,Youngstown State,
401767278,4,West Georgia,Eastern Kentucky,
401767664,4,Bucknell,Lehigh,
401767743,4,Merrimack,Central Connecticut,
401767333,4,UAlbany,Cornell,
401767210,4,Lindenwood,Stony Brook,
401767031,4,Campbell,Bryant,
401767218,4,Southeast Missouri State,Southern Illinois,
401767433,4,Prairie View A&M,Northwestern State,
401767306,4,Tarleton State,Chattanooga,
401767416,4,Grambling,East Texas A&M,
401767121,4,Houston Christian,Northern Colorado,
401767061,4,Eastern Washington,Western Illinois,
401767308,4,Utah Tech,Northern Iowa,
401767072,4,Stephen F. Austin,Cal Poly,
401767239,4,Abilene Christian,Austin Peay,
401756900,4,Oklahoma State,Tulsa,
401767151,4,East Tennessee State,Elon,
401767132,4,Sacramento State,Central Arkansas,
401767160,4,Weber State,Butler,
401762468,4,Charlotte,Rice,
401767157,4,UC Davis,Southern Utah,
401760376,4,Miami (OH),UNLV,
401762469,4,Army,North Texas,
401761610,4,Eastern Michigan,Louisiana,
401754640,4,UCF,North Carolina,
401754542,4,Georgia Tech,Temple,
401754642,4,Louisville,Bowling Green,
401756898,4,East Carolina,BYU,
401754537,4,Clemson,Syracuse,
401761613,4,Buffalo,Troy,
401754541,4,Florida State,Kent State,
401762820,4,Western Michigan,Toledo,
401754538,4,Duke,NC State,
401752715,4,Tennessee,UAB,
401761611,4,South Alabama,Coastal Carolina,
401760373,4,Colorado State,UTSA,
401756899,4,Kansas,West Virginia,
401752711,4,Ole Miss,Tulane,
401752708,4,Memphis,Arkansas,
401757169,4,UConn,Ball State,
401752712,4,Mississippi State,Northern Illinois,
401754539,4,Virginia,Stanford,
401757262,4,Liberty,James Madison,
401760374,4,Hawai'i,Fresno State,
401757259,4,Florida International,Delaware,
401757261,4,Kennesaw State,Arkansas State,
401757268,4,Western Kentucky,Nevada,
401760372,4,Air Force,Boise State,
401752716,4,Vanderbilt,Georgia State,
401757263,4,Louisiana Tech,Southern Miss,
401757264,4,Middle Tennessee,Marshall,
401752723,4,Texas,Sam Houston,
401757267,4,UTEP,UL Monroe,
401756902,5,Arizona State,TCU,
401752720,5,Mississippi State,Tennessee,
401752850,5,Illinois,USC,
401756908,5,West Virginia,Utah,
401762828,5,Western Michigan,Rhode Island,
401757273,5,Missouri State,Western Kentucky,
401762824,5,Toledo,Akron,
401752722,5,South Carolina,Kentucky,
401762473,5,Navy,Rice,
401760380,5,Northern Illinois,San Diego State,
401756905,5,Kansas,Cincinnati,
401754548,5,NC State,Virginia Tech,
401760378,5,Air Force,Hawai'i,
401762827,5,Miami (OH),Lindenwood,
401754544,5,Boston College,California,
401756906,5,Kansas State,UCF,
401761614,5,James Madison,Georgia Southern,
401760379,5,Boise State,App State,
401756907,5,Oklahoma State,Baylor,
401761615,5,Louisiana,Marshall,
401757269,5,Southern Miss,Jacksonville State,
401762825,5,Ohio,Bowling Green,
401752725,5,Vanderbilt,Utah State,
401757270,5,Kennesaw State,Middle Tennessee,
401752721,5,Missouri,Massachusetts,
401757170,5,Buffalo,UConn,
401752849,5,Minnesota,Rutgers,
401756903,5,Colorado,BYU,
401762474,5,Tulsa,Tulane,
401762826,5,Central Michigan,Eastern Michigan,
401752950,5,Colorado State,Washington State,
401761616,5,UL Monroe,Arkansas State,
401757272,5,UTEP,Louisiana Tech,
401752851,5,Northwestern,UCLA,
401754549,5,Stanford,San José State,
401757274,5,New Mexico,New Mexico State,
401762471,5,East Carolina,Army,
401761617,5,North Texas,South Alabama,
401757271,5,Old Dominion,Liberty,
